Code,NumberOfHouseholds,HouseholdMedianIncome,HouseholdMeanIncome,NumberOfFamilies,FamilyMedianIncome,FamilyMeanIncome,NonFamilyHousehold,NonFamilyHouseholdMediumIncome,NonFamilyHouseholdMeanIncome
53038,1723,82750,92669,1182,98971,110339,541,35573,49954
53037,3946,85417,98568,2589,95358,111693,1357,53250,69884
53036,1076,81053,94169,806,90962,101764,270,70769,67183
53035,890,70900,82785,625,82159,91434,265,43125,56767
53034,689,65292,74801,489,71458,84052,200,43500,49352
53033,2219,95281,129776,1708,105625,148572,511,51063,63689
53032,2118,47325,68726,1183,62132,81709,935,27111,48830
53031,0,0,0,0,0,0,0,0,0
53029,8057,100496,140273,6162,113667,155855,1895,46440,86361
53027,9082,71949,86837,6429,88245,100182,2653,39893,49754
53024,7727,79785,101427,5098,99739,124294,2629,45554,53960
53023,567,67708,90757,412,84500,108323,155,40884,42892
53022,7630,88852,113314,5409,107244,128948,2221,49250,71872
53021,1829,88042,106520,1330,98448,117182,499,65020,76446
53020,1565,73892,91816,1243,82434,100854,322,36357,51961
53019,742,75000,82272,571,83750,90473,171,39338,51131
53018,3198,103646,138212,2262,123929,142318,936,46667,119690
53017,1977,137930,162755,1821,139070,171263,156,53333,58285
53016,133,65250,64272,91,70938,71390,42,38125,42769
53015,1123,70125,79880,788,78472,86065,335,44531,62202
53014,3147,63045,74844,2069,81026,91709,1078,32143,40785
53013,1349,79219,92795,913,92981,109068,436,39211,57385
53012,7525,90700,117740,5332,115644,146741,2193,32442,46220
53011,901,74375,87523,585,86940,101977,316,42000,57726
53010,3442,92838,94106,2718,109545,102522,724,40764,57423
53007,912,45250,60651,389,95875,91777,523,28656,35767
53006,704,74833,83308,513,79861,90483,191,50938,58197
53005,7701,106484,136259,5835,120893,154282,1866,68750,78396
53004,1348,81583,92893,1024,93571,103334,324,46071,53270
53003,50,0,70458,31,106563,104142,19,0,15495
53002,955,82531,82529,648,94375,98215,307,47135,47172
53001,826,75114,92682,517,86625,109354,309,61050,63760
52807,6535,65984,91932,3977,94052,116871,2558,44398,50823
52806,10804,55929,67083,6673,68517,80191,4131,33355,43105
52804,10782,52395,64723,6437,61669,74958,4345,34580,44925
52803,8593,55010,80916,4817,75503,98653,3776,36843,57020
52802,3853,42250,57209,2265,50299,64305,1588,31092,44033
52801,759,24067,36112,79,0,82853,680,23426,30078
52778,1603,62388,95395,1097,74258,99238,506,40703,83623
52777,526,42955,56802,364,48333,63685,162,35417,40210
52776,1619,68022,82486,1184,80114,95872,435,40875,42389
52774,48,56250,67252,25,81250,91308,23,37250,40196
52773,1097,70518,82382,699,83625,91631,398,35208,59360
52772,2156,70471,76126,1481,81179,85801,675,38828,50461
52769,251,79554,87622,173,79732,93083,78,51250,65906
52768,554,76607,85527,411,82574,92880,143,38542,57573
52767,29,0,0,10,0,0,19,0,0
52766,370,58333,66503,178,74904,82925,192,51706,51117
52765,181,95260,94001,101,118250,121841,80,51429,58841
52761,11816,58280,75384,8041,68958,84525,3775,37917,49168
52760,231,54769,69601,111,83646,102518,120,35875,39153
52758,112,81875,89104,76,73929,83246,36,101500,89250
52757,97,56042,61445,67,64250,65330,30,43750,44703
52756,651,103239,130735,512,125156,154266,139,30917,42353
52755,830,79048,85445,653,91420,95040,177,37917,46833
52754,559,63150,99240,387,64250,113692,172,53077,56711
52753,1861,86490,121435,1482,99891,138477,379,44011,54013
52752,195,54453,63955,133,60179,74856,62,32000,35756
52751,333,63750,81514,204,80000,99773,129,40945,50810
52750,197,72321,80015,121,80938,94074,76,70536,57633
52749,341,89464,98273,293,82463,101965,48,37500,50210
52748,3670,80200,104582,2922,88697,115859,748,54756,58985
52747,801,68063,79570,525,90950,99823,276,31563,39250
52746,413,71875,88480,370,66250,88656,43,45592,40914
52745,235,66250,78234,119,94219,100860,116,28750,52522
52742,2828,63938,87724,1966,81953,107358,862,28839,40651
52739,229,49750,56157,154,63750,60518,75,36131,39883
52738,1412,57545,69758,945,73350,86013,467,28578,33314
52737,146,65395,65010,104,66711,75218,42,31154,39733
52732,11403,47314,63176,6671,65172,77628,4732,30192,39857
52731,298,63214,68099,196,68750,77031,102,42143,50336
52730,2206,53160,60790,1355,71291,77539,851,30665,32982
52729,362,66912,77039,254,83333,94676,108,24844,35256
52728,449,73004,74592,230,80294,82030,219,65917,60375
52727,119,50781,74525,75,0,97960,44,35000,34580
52726,2255,87267,96914,1619,108482,113424,636,41154,53494
52722,14904,86202,112335,10010,104314,134289,4894,45186,64751
52721,326,79500,89770,264,89444,99289,62,36250,47568
52720,332,73571,91755,196,130250,121178,136,45962,48788
52701,62,53125,47487,60,53750,48552,2,0,0
52660,71,32371,41490,63,32981,44092,8,0,0
52659,595,43098,56798,339,68194,77359,256,25694,29005
52658,391,61302,69177,302,63672,76150,89,29063,36193
52657,19,68125,69553,18,68750,70422,1,0,0
52656,937,67321,91947,580,83250,107303,357,42083,66998
52655,1638,50938,70893,971,68710,82973,667,31384,51337
52654,612,70061,76543,446,76000,77215,166,35395,66773
52653,1313,69410,79305,923,79219,92670,390,36400,42821
52651,240,34107,48640,143,63977,63601,97,0,25707
52650,259,75625,78770,169,76991,91524,90,53088,54461
52649,373,55417,83130,288,65938,95768,85,27917,36791
52647,71,68438,68054,44,86250,82125,27,40625,45119
52646,147,63977,56215,105,75114,61275,42,0,39481
52645,1379,56875,62492,925,71250,72539,454,31625,39185
52644,162,62500,67657,126,64028,73867,36,44375,43133
52641,4511,54489,70410,3033,71801,82822,1478,29248,38861
52640,568,77667,90145,397,100670,108727,171,36250,46622
52639,763,61676,71101,574,62564,77555,189,45074,47281
52638,217,68393,75322,180,72500,78626,37,47083,49541
52637,1103,63224,76210,729,82321,94601,374,29353,36757
52635,430,55625,64239,291,63125,66335,139,43042,59240
52632,5455,45108,57718,3435,57378,69669,2020,24925,33877
52630,147,43802,53196,83,54063,62961,64,33889,35634
52627,5167,50286,64480,3207,65076,77628,1960,32885,39783
52626,541,42750,49200,319,55774,58011,222,29722,35833
52625,981,62009,74914,750,74875,87147,231,23859,33657
52624,212,127636,102840,175,128139,111592,37,73203,61446
52623,727,75598,86156,526,99091,104453,201,29188,35622
52621,306,85167,98745,259,92375,108091,47,33750,33591
52620,344,58929,69234,229,64716,81043,115,29659,42847
52619,307,65875,66207,263,66054,68683,44,0,50857
52601,12561,49098,70073,7686,62262,82592,4875,32469,47462
52595,161,47292,53628,101,56563,62291,60,21667,31335
52594,152,74063,78870,126,80938,74210,26,18750,101062
52593,67,76458,115440,51,85179,133259,16,61250,53463
52591,1303,52969,79551,832,73158,95022,471,26488,50085
52590,399,41098,44316,255,47438,51998,144,30556,29554
52588,8,0,0,8,0,0,0,0,0
52586,246,62813,63002,187,70156,64827,59,34750,38781
52585,355,63194,68609,243,78523,85500,112,31250,30969
52584,156,67273,70202,132,72500,74926,24,48333,43371
52583,150,56563,73932,108,73500,89612,42,19375,30517
52581,127,45250,68503,87,56250,84613,40,26711,33465
52580,349,43875,55651,236,59138,64590,113,33708,35236
52577,6074,55173,67219,3860,75040,83922,2214,22654,35356
52576,204,64318,69063,140,76500,86378,64,21932,31188
52574,239,46625,54578,145,55250,62224,94,30000,40620
52573,60,0,154427,60,0,154427,0,0,0
52572,427,51250,56452,258,54583,61592,169,32132,46449
52571,575,68375,88429,424,83333,103821,151,38523,43544
52570,358,61000,105633,264,61250,119169,94,0,66687
52569,349,49583,56753,206,56591,69353,143,31518,38601
52567,300,60242,64843,193,62434,73164,107,43073,47341
52566,85,67750,69879,75,78125,74652,10,41250,34090
52565,786,48263,61693,513,55573,78164,273,21645,30360
