city,state,latitude,longitude,postcode,price,bedroom_number,bathroom_number,property_type
Los Angeles,CA,34.101353,-118.3544,90046,775000,2,2,CONDO
Los Angeles,CA,34.095867,-118.34194,90028,442000,1,1,CONDO
Los Angeles,CA,34.10281,-118.34944,90046,515000,1,1,CONDO
Los Angeles,CA,34.099693,-118.34994,90046,769000,2,2,CONDO
Los Angeles,CA,34.10294,-118.34747,90046,725000,1,2,CONDO
Los Angeles,CA,34.100636,-118.325874,90028,2450000,2,3,CONDO
Los Angeles,CA,34.10267,-118.34853,90046,725000,2,2,CONDO
West Hollywood,CA,34.09374,-118.353134,90046,899000,2,2,CONDO
Los Angeles,CA,34.081074,-118.34318,90036,514900,1,1,CONDO
Los Angeles,CA,34.101887,-118.34648,90046,745000,2,2,CONDO
Los Angeles,CA,34.10196,-118.32638,90028,695000,1,2,CONDO
Los Angeles,CA,34.102955,-118.35054,90046,928000,3,2,CONDO
Los Angeles,CA,34.095863,-118.341934,90028,448500,1,1,CONDO
Los Angeles,CA,34.079945,-118.34265,90036,825000,1,1,CONDO
Los Angeles,CA,,,90028,1995000,2,2,CONDO
Los Angeles,CA,34.100014,-118.34367,90028,899000,2,2,CONDO
Los Angeles,CA,34.10196,-118.32638,90028,799000,2,2,CONDO
Los Angeles,CA,34.09594,-118.35405,90046,475000,1,1,CONDO
Los Angeles,CA,34.100636,-118.325874,90028,1290000,1,3,CONDO
Los Angeles,CA,34.10196,-118.32638,90028,575000,1,1,CONDO
Los Angeles,CA,34.08997,-118.35772,90046,1299000,2,2,CONDO
Los Angeles,CA,34.100636,-118.325874,90028,849000,2,2,CONDO
Los Angeles,CA,34.10128,-118.3271,90028,649999,0,1,CONDO
Los Angeles,CA,34.10294,-118.34747,90046,598000,1,2,CONDO
Los Angeles,CA,34.100636,-118.325874,90028,1745000,2,3,CONDO
Los Angeles,CA,34.100636,-118.325874,90028,800000,1,2,CONDO
Los Angeles,CA,34.100636,-118.325874,90028,925000,1,2,CONDO
Los Angeles,CA,34.100636,-118.325874,90028,825000,1,2,CONDO
Los Angeles,CA,34.05366,-118.19449,90033,2275000,16,8,CONDO
Los Angeles,CA,34.03437,-118.44269,90064,1399000,3,3,CONDO
Los Angeles,CA,34.038826,-118.435036,90064,695000,1,2,CONDO
Los Angeles,CA,34.03196,-118.43922,90064,899000,2,3,CONDO
Los Angeles,CA,34.03437,-118.44269,90064,775000,1,1,CONDO
Los Angeles,CA,34.038834,-118.43582,90064,945000,2,3,CONDO
Los Angeles,CA,34.039845,-118.4367,90064,799955,3,2,CONDO
Los Angeles,CA,34.117535,-118.46415,90077,1249000,2,2,CONDO
Elko,NV,40.85075,-115.757545,89801,525000,3,4,CONDO
Reno,NV,39.64377,-119.877945,89506,309999,2,1,CONDO
Reno,NV,39.53029,-119.81799,89503,250000,1,1,CONDO
Reno,NV,39.527332,-119.81501,89501,382500,0,1,CONDO
Reno,NV,39.525276,-119.81658,89501,469900,2,2,CONDO
Reno,NV,39.56143,-119.827354,89503,320000,2,2,CONDO
Reno,NV,39.551758,-119.7941,89512,210000,2,2,CONDO
Reno,NV,39.502205,-119.79172,89502,210000,2,1,CONDO
Reno,NV,,,89509,250000,2,1,CONDO
Reno,NV,39.43772,-119.75397,89521,335000,1,1,CONDO
