address,city,state,postcode,latitude,longitude,bedroom_number,bathroom_number,square_meter,price,household_number,household_mean_income,families_number,family_mean_income,non_family_number,non_family_mean_income,population,20to24,25to34,35to44,45to54,55to59,60to64,65to74,75to84,median_age
Conquistador Drive,Eagle River,AK,99577,61.323196,-149.5672,3,3,156,370900,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
Conquistador Drive,Eagle River,AK,99577,61.323257,-149.5672,3,3,152,367900,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
River's Edge Lane,Eagle River,AK,99577,61.311108,-149.57224,2,3,134,239000,9649,126943,7117,142248,2532,76609,28264,1410,4954,4182,3281,1760,1816,2137,622,34.5
Sherman Street,Chugiak,AK,99567,61.396828,-149.45576,3,2,148,383000,3062,125905,2667,131223,395,89777,7819,411,1076,749,908,703,962,899,182,41.6
Foxridge Way,Anchorage,AK,99518,61.15306,-149.88464,2,2,70,225000,4172,94295,2369,106317,1803,73882,10180,438,2538,1390,1186,786,479,544,266,32.9
Canton Loop,Anchorage,AK,99515,61.133976,-149.91586,3,2,110,230000,7624,124110,5397,131463,2227,91008,21596,1481,2530,3172,2838,1387,1463,1793,718,37.9
Highlander Circle,Anchorage,AK,99518,61.149364,-149.89096,3,3,192,365000,4172,94295,2369,106317,1803,73882,10180,438,2538,1390,1186,786,479,544,266,32.9
Stonegate Circle,Anchorage,AK,99515,61.13296,-149.9164,2,1,108,235000,7624,124110,5397,131463,2227,91008,21596,1481,2530,3172,2838,1387,1463,1793,718,37.9
Molanary Drive,Anchorage,AK,99502,61.142616,-149.94997,2,1,78,125000,8994,118867,6350,134240,2644,77261,26288,1340,4484,4357,3265,1759,801,1276,871,33.3
West International Airport Road,Anchorage,AK,99502,61.174423,-149.93524,2,2,95,178000,8994,118867,6350,134240,2644,77261,26288,1340,4484,4357,3265,1759,801,1276,871,33.3
Commons Place,Anchorage,AK,99502,61.13638,-149.942,3,2,124,265000,8994,118867,6350,134240,2644,77261,26288,1340,4484,4357,3265,1759,801,1276,871,33.3
Huntsmen Circle,Anchorage,AK,99518,61.154243,-149.88481,2,2,69,180000,4172,94295,2369,106317,1803,73882,10180,438,2538,1390,1186,786,479,544,266,32.9
Sand Lake,Anchorage,AK,99502,61.13734,-149.9458,2,1,78,159000,8994,118867,6350,134240,2644,77261,26288,1340,4484,4357,3265,1759,801,1276,871,33.3
Roald Amundsen Avenue,Anchorage,AK,99517,61.18503,-149.95459,3,3,158,424900,6892,111971,3866,131065,3026,82685,16014,920,2630,2157,1965,1122,1128,1740,523,39.2
Foxridge Circle,Anchorage,AK,99518,61.155445,-149.88478,2,2,69,170000,4172,94295,2369,106317,1803,73882,10180,438,2538,1390,1186,786,479,544,266,32.9
West International Airport Road,Anchorage,AK,99502,61.174423,-149.93524,2,2,95,190000,8994,118867,6350,134240,2644,77261,26288,1340,4484,4357,3265,1759,801,1276,871,33.3
Canton Loop,Anchorage,AK,99515,61.133633,-149.91519,3,2,111,255000,7624,124110,5397,131463,2227,91008,21596,1481,2530,3172,2838,1387,1463,1793,718,37.9
Discovery View Drive,Anchorage,AK,99515,61.11734,-149.9321,2,2,96,290000,7624,124110,5397,131463,2227,91008,21596,1481,2530,3172,2838,1387,1463,1793,718,37.9
Lakeshore Drive,Anchorage,AK,99517,61.18097,-149.95001,2,2,80,205000,6892,111971,3866,131065,3026,82685,16014,920,2630,2157,1965,1122,1128,1740,523,39.2
McRae Road,Anchorage,AK,99517,61.185745,-149.92569,2,1,90,99000,6892,111971,3866,131065,3026,82685,16014,920,2630,2157,1965,1122,1128,1740,523,39.2
Canton Loop,Anchorage,AK,99515,61.134064,-149.91682,3,2,108,250000,7624,124110,5397,131463,2227,91008,21596,1481,2530,3172,2838,1387,1463,1793,718,37.9
Discovery View Drive,Anchorage,AK,99515,61.11576,-149.93002,3,3,198,410000,7624,124110,5397,131463,2227,91008,21596,1481,2530,3172,2838,1387,1463,1793,718,37.9
Discovery Park Drive,Anchorage,AK,99515,61.11718,-149.93318,3,3,177,415000,7624,124110,5397,131463,2227,91008,21596,1481,2530,3172,2838,1387,1463,1793,718,37.9
Moorland Street,Anchorage,AK,99502,61.143818,-149.9552,2,2,135,325000,8994,118867,6350,134240,2644,77261,26288,1340,4484,4357,3265,1759,801,1276,871,33.3
Jewel Lake Road,Anchorage,AK,99502,61.143543,-149.9516,2,2,99,155000,8994,118867,6350,134240,2644,77261,26288,1340,4484,4357,3265,1759,801,1276,871,33.3
Foxridge Way,Jeffersontown,AK,99518,61.153572,-149.88489,2,2,69,170000,4172,94295,2369,106317,1803,73882,10180,438,2538,1390,1186,786,479,544,266,32.9
Harbor Landing Circle,Anchorage,AK,99515,61.126965,-149.9233,3,3,199,410000,7624,124110,5397,131463,2227,91008,21596,1481,2530,3172,2838,1387,1463,1793,718,37.9
West 76th Avenue,Anchorage,AK,99518,61.151814,-149.88902,2,1,84,165000,4172,94295,2369,106317,1803,73882,10180,438,2538,1390,1186,786,479,544,266,32.9
Sand Lake,Anchorage,AK,99502,61.13734,-149.9458,2,1,78,168000,8994,118867,6350,134240,2644,77261,26288,1340,4484,4357,3265,1759,801,1276,871,33.3
Arctic Boulevard,Anchorage,AK,99518,61.17245,-149.89838,3,2,179,294900,4172,94295,2369,106317,1803,73882,10180,438,2538,1390,1186,786,479,544,266,32.9
Weimer Road,Anchorage,AK,99502,61.155804,-149.94989,2,1,94,110000,8994,118867,6350,134240,2644,77261,26288,1340,4484,4357,3265,1759,801,1276,871,33.3
North Star Street,Anchorage,AK,99503,61.20083,-149.9007,2,2,125,259900,6167,73025,2999,85128,3168,58358,12360,1205,2962,1483,1718,844,870,871,615,36.2
Potlatch Circle,Anchorage,AK,99503,61.2017,-149.90161,3,2,169,369900,6167,73025,2999,85128,3168,58358,12360,1205,2962,1483,1718,844,870,871,615,36.2
Eastridge Drive,Anchorage,AK,99501,61.20458,-149.84189,2,1,84,122500,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
West 23rd Avenue,Anchorage,AK,99503,61.19971,-149.89903,2,1,78,125000,6167,73025,2999,85128,3168,58358,12360,1205,2962,1483,1718,844,870,871,615,36.2
Nelchina Street,Anchorage,AK,99501,61.20643,-149.85587,2,2,114,189000,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
Denali Street,Anchorage,AK,99501,61.21099,-149.87767,2,2,84,160000,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
East 7th Avenue,Anchorage,AK,99501,61.21532,-149.87993,2,3,132,509900,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
East 7th Avenue,Anchorage,AK,99501,61.215862,-149.88034,1,1,67,128000,7256,87836,2940,117534,4316,65106,16267,1029,3364,2282,2143,908,1080,1712,733,38
